Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales,Highest
"Guitar Hero 5",2.4,1.56,0,0.97,4.94,NA
Wall-E,1.88,1.93,0,1.11,4.92,EU
"Dead Island",2.68,1.53,0.15,0.54,4.9,NA
"FIFA Soccer 2005",1.08,3.13,0.04,0.63,4.89,EU
"Diddy Kong Racing",2.91,0.99,0.89,0.1,4.88,NA
"WWE SmackDown vs. Raw 2009",2.78,1.11,0.01,0.99,4.88,NA
"Monster Hunter Freedom 3",0,0,4.87,0,4.87,JP
Titanfall,2.92,1.48,0.06,0.4,4.86,NA
"Just Dance 2015",2.58,1.79,0,0.49,4.85,NA
"StarCraft II: Wings of Liberty",2.56,1.68,0,0.59,4.83,NA
"Enter the Matrix",2.84,1.64,0.12,0.24,4.83,NA
"Crazy Taxi",2.59,1.72,0.2,0.31,4.82,NA
Baseball,1.39,0.37,3,0.05,4.81,JP
"Dragon Age: Inquisition",2.2,1.87,0.13,0.61,4.81,NA
"Midnight Club: Los Angeles",3.23,1,0.06,0.51,4.8,NA
"Crash Team Racing",2.57,1.57,0.44,0.21,4.79,NA
"Dragon Age: Origins",2.72,1.46,0.11,0.5,4.77,NA
"Assassin's Creed Syndicate",1.51,2.56,0.06,0.63,4.76,EU
"Saints Row 2",2.82,1.37,0.04,0.53,4.76,NA
"Skate 3",2.25,1.92,0,0.59,4.76,NA
"Ghostbusters: The Video Game (DS Version)",1.63,2.31,0.16,0.65,4.75,EU
"Driver 2",2.36,2.1,0.02,0.25,4.73,NA
Half-Life,4.32,0.23,0.09,0.08,4.72,NA
"The SpongeBob SquarePants Movie",3.21,1.23,0,0.27,4.7,NA
"WWF War Zone",3.55,1,0,0.15,4.69,NA
BioShock,2.41,1.74,0.06,0.51,4.69,NA
"Animal Crossing: City Folk",1.87,1.12,1.32,0.37,4.68,NA
"Dragon Warrior III",0.1,0,4.58,0,4.68,JP
"Forza Motorsport 4",2.08,2.04,0.06,0.47,4.64,NA
"Portal 2",2.57,1.46,0.03,0.53,4.6,NA
Spider-Man,3,1.39,0.02,0.18,4.59,NA
"Luigi's Mansion: Dark Moon",1.78,1.39,1.1,0.3,4.58,NA
"Max Payne",2.99,1.27,0.05,0.27,4.58,NA
"Lego Batman 3: Beyond Gotham",1.94,2.06,0,0.6,4.58,EU
Splatoon,1.55,1.15,1.44,0.43,4.57,NA
"Namco Museum: 50th Anniversary",2.52,1.48,0,0.56,4.57,NA
"SoulCalibur II",2.83,1.12,0.27,0.33,4.56,NA
"pro evolution soccer 2011",0.55,2.28,0.91,0.78,4.52,EU
Pitfall!,4.21,0.24,0,0.05,4.5,NA
"World Soccer Winning Eleven 9",0.18,2.59,0.92,0.8,4.5,EU
"Call of Duty: Finest Hour",2.6,1.6,0.01,0.29,4.5,NA
"Marvel: Ultimate Alliance",4.02,0.08,0,0.4,4.5,NA
"Ben 10: Protector of Earth",1.56,1.69,0,1.24,4.49,EU
"Uncharted: The Nathan Drake Collection",1.96,1.69,0.08,0.74,4.47,NA
Ratatouille,2.05,1.37,0,1,4.46,NA
"God of War",2.71,1.29,0.02,0.43,4.45,NA
"Nintendo Land",2.55,1.11,0.46,0.33,4.44,NA
"Dragon Quest V: Tenkuu no Hanayome",0,0,4.43,0.01,4.44,JP
"LEGO The Lord of the Rings",1.87,2,0,0.55,4.43,EU
"SpongeBob SquarePants: Battle for Bikini Bottom",3.15,1.07,0,0.21,4.42,NA
"The Sims 2",2.73,1.12,0,0.59,4.42,NA
"Tekken 6",2.06,1.44,0.32,0.59,4.41,NA
"Midnight Club 3: DUB Edition",2.26,1.32,0,0.82,4.4,NA
"Skylanders: Trap Team",2.16,1.77,0,0.46,4.4,NA
"BioShock Infinite",2.22,1.56,0.06,0.54,4.39,NA
"Zelda II: The Adventure of Link",2.19,0.5,1.61,0.08,4.38,NA
"Left 4 Dead 2",2.67,1.21,0.05,0.41,4.36,NA
"Resistance: Fall of Man",1.73,1.73,0.14,0.75,4.35,Other
"Fable II",2.51,1.27,0.11,0.41,4.31,NA
Dishonored,2.23,1.48,0.07,0.52,4.3,NA
"Guitar Hero: Aerosmith",3.38,0.43,0,0.49,4.3,NA
"Need for Speed: The Run",1.52,2.07,0.04,0.64,4.27,EU
"Halo 5: Guardians",2.64,1.2,0.03,0.39,4.26,NA
"Battlefield: Hardline",1.71,1.8,0.22,0.54,4.26,EU
"Super Mario 3D World",2.11,1.11,0.72,0.3,4.25,NA
"ESPN NFL 2K5",3.69,0.14,0,0.43,4.25,NA
"SimCity 2000",1.96,1.33,0.77,0.18,4.24,NA
"Metal Gear Solid 3: Snake Eater",1.46,0,0.83,1.93,4.23,NA
Daxter,2.45,1.02,0,0.75,4.22,NA
"Warcraft II: Tides of Darkness",1.7,2.27,0,0.23,4.21,EU
"Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City",2.69,1.22,0,0.31,4.21,NA
"EyeToy Play",0.88,2.3,0.2,0.83,4.2,EU
"Uncharted 4: A Thief's End",1.3,2.07,0.18,0.65,4.2,EU
"Gran Turismo 5 Prologue",1.28,1.83,0.57,0.53,4.2,EU
"Hitman: Absolution",1.3,2.14,0.08,0.66,4.2,EU
"The Beatles: Rock Band",2.83,0.93,0,0.42,4.18,NA
"Sonic Generations",1.77,1.83,0.03,0.53,4.17,EU
Excitebike,2.04,0.48,1.57,0.07,4.16,NA
"Tomb Raider III: Adventures of Lara Croft",2.25,1.61,0.12,0.18,4.16,NA
"FIFA Soccer 2003",0.76,2.71,0.05,0.65,4.16,EU
Tennis,1.23,0.41,2.46,0.06,4.16,JP
"The Evil Within",1.5,1.84,0.24,0.56,4.15,EU
"Call Of Duty 2: Big Red One",2.39,1.39,0.01,0.32,4.12,NA
"Tony Hawk's Underground 2",2.46,1.33,0.01,0.31,4.11,NA
"The Legend of Zelda: Skyward Sword",2.14,1.2,0.37,0.4,4.1,NA
"Street Fighter II Turbo",1.42,0.51,2.1,0.07,4.1,JP
"Mortal Kombat X",2.48,1.01,0,0.6,4.1,NA
"World of Warcraft: The Burning Crusade",2.57,1.52,0,0,4.09,NA
"Star Wars: The Force Unleashed II",2.5,1.16,0,0.42,4.08,NA
"God of War II",2.32,0.04,0.04,1.67,4.07,NA
"Forza Motorsport 2",2.35,1.28,0.03,0.41,4.06,NA
"Ratchet & Clank: Size Matters",1.53,1.5,0.13,0.9,4.06,NA
"Namco Museum Vol.3",2.28,1.55,0.16,0.06,4.05,NA
"Tekken Tag Tournament",1.68,1.51,0.51,0.35,4.05,NA
"Dragon Ball Z: Budokai Tenkaichi 3",1.48,0.37,1.02,1.18,4.04,NA
"Star Fox 64",2.78,0.58,0.64,0.04,4.03,NA
"Dead Space",1.94,1.6,0,0.49,4.03,NA
"Rugrats in Paris: The Movie",2.36,1.42,0,0.24,4.02,NA
"Tetris Worlds",2.53,1.14,0,0.34,4.01,NA
"Professor Layton and the Diabolical Box",0.92,1.78,0.92,0.37,4,EU
"Burnout 3: Takedown",2.07,1.54,0,0.38,3.99,NA
"Tom Clancy's Ghost Recon",2.87,0.9,0,0.2,3.99,NA
"Max Payne 3",1.6,1.78,0.07,0.52,3.99,EU
"The Sims 2: Pets",1.77,1.44,0,0.77,3.98,NA
"Tom Clancy's Rainbow Six: Vegas",1.98,1.37,0.05,0.56,3.95,NA
"Disney Infinity 2.0: Marvel Super Heroes",1.94,1.52,0,0.49,3.95,NA
"World Soccer Winning Eleven 8 International",0.23,1.91,1.12,0.68,3.94,EU
"NBA Live 2005",3.19,0.35,0,0.4,3.94,NA
"Mortal Kombat vs. DC Universe",3.01,0.54,0,0.38,3.93,NA
"EA Sports Active",2.1,1.36,0.06,0.4,3.92,NA
"007: Quantum of Solace",1.84,1.35,0.04,0.68,3.92,NA
"Donkey Kong Land",1.97,0.76,1.07,0.11,3.91,NA
"Monster Hunter 4 Ultimate",0.67,0.49,2.62,0.11,3.89,JP
"The Elder Scrolls Online",1.75,1.64,0,0.49,3.89,NA
MotorStorm,1.53,1.61,0.06,0.67,3.88,EU
"Tekken 5",0.93,1.94,0.31,0.7,3.87,EU
"Sports Champions",2.12,1.14,0.1,0.51,3.87,NA
"Mortal Kombat: Deadly Alliance",2.9,0.75,0,0.2,3.87,NA
"Mario Bros.",1.99,0.21,1.63,0.04,3.87,NA
"Destiny: The Taken King",1.97,1.3,0.06,0.51,3.87,NA
"Injustice: Gods Among Us",2.12,1.25,0.01,0.5,3.87,NA
"Flash Focus: Vision Training in Minutes a Day",0.87,1.57,1.05,0.35,3.84,EU
"Namco Museum Vol.1",2.12,1.44,0.22,0.06,3.84,NA
"UFC 2009 Undisputed",2.55,0.84,0.01,0.43,3.84,NA
"The Legend of Zelda: Link's Awakening",2.21,0.96,0.54,0.13,3.83,NA
"Mario & Luigi: Bowser's Inside Story",2.26,0.48,0.81,0.27,3.83,NA
"Big Brain Academy: Wii Degree",1.06,1.93,0.41,0.43,3.82,EU
"Nintendogs + cats",1.44,1.37,0.73,0.27,3.81,NA
"Resident Evil Director's Cut",1.82,1.24,0.51,0.25,3.81,NA
"Sonic Mega Collection Plus",2.15,1.4,0,0.26,3.81,NA
"Madden NFL 2001",3.37,0.15,0.05,0.25,3.81,NA
"Resident Evil 3: Nemesis",1.36,0.79,1.54,0.11,3.8,JP
"Tom Clancy's Rainbow Six: Vegas 2",2.22,1.08,0.06,0.44,3.79,NA
"Dragon Ball Z: Budokai",2.7,0.42,0.55,0.1,3.78,NA
"Chrono Trigger",0.97,0.2,2.51,0.1,3.78,JP
"The Sims: Unleashed",2.03,1.56,0,0.17,3.76,NA
"Super Paper Mario",1.98,0.88,0.59,0.32,3.76,NA
"WWE SmackDown vs. RAW 2007",2.17,1.11,0.03,0.44,3.76,NA
"BioShock 2",2.3,1.02,0.04,0.41,3.76,NA
"Saints Row IV",1.91,1.29,0.13,0.45,3.76,NA
"Mortal Kombat Trilogy",2.7,0.92,0,0.13,3.75,NA
"The Sims",2.08,1.38,0,0.27,3.73,NA
"Need for Speed: Hot Pursuit 2",3.04,0.51,0.02,0.14,3.73,NA
"Spyro: Year of the Dragon",1.93,1.58,0,0.19,3.71,NA
"PokÃ©mon Trading Card Game",1.49,0.73,1.38,0.1,3.7,NA
"Sonic's Ultimate Genesis Collection",2.19,1.08,0,0.44,3.7,NA
"Friend Collection",0,0,3.67,0,3.67,JP
Banjo-Kazooie,1.87,1.14,0.55,0.1,3.66,NA
"Tom Clancy's Rainbow Six: Siege",1.39,1.68,0.13,0.46,3.66,EU
"Cars 2",1.99,1.24,0.04,0.39,3.66,NA
"SOCOM: U.S. Navy SEALs",2.53,0.81,0.06,0.24,3.65,NA
"Doom II: Hell on Earth",2.08,1.41,0,0.16,3.65,NA
"Pro Evolution Soccer 2012",0.64,1.58,0.93,0.51,3.65,EU
"Gran Turismo 6",0.71,1.8,0.4,0.74,3.64,EU
"Jak and Daxter: The Precursor Legacy",2.08,1.09,0.15,0.33,3.64,NA
"High School Musical: Sing It!",1.63,0.53,0,1.49,3.64,NA
"Pokemon Snap",2.23,0.68,0.66,0.06,3.63,NA
"Prince of Persia: The Sands of Time",1.81,1.46,0,0.36,3.63,NA
"Wolfenstein: The New Order",1.24,1.81,0.05,0.53,3.63,EU
"Rocksmith 2014",2.18,0.93,0.05,0.45,3.62,NA
"Cooking Mama 2: Dinner With Friends",1.61,1.5,0.1,0.39,3.61,NA
"Mass Effect",1.83,1.39,0.03,0.36,3.61,NA
"Luigi's Mansion",2.38,0.67,0.46,0.1,3.6,NA
"WWF SmackDown!",2.01,1.35,0.06,0.16,3.58,NA
"Sonic & Sega All-Stars Racing",1.45,1.71,0,0.43,3.58,EU
"Mario Tennis",1.28,0.64,1.5,0.14,3.57,JP
"Croc: Legend of the Gobbos",1.57,1.79,0,0.2,3.56,EU
"The Getaway",1.23,1.77,0.05,0.49,3.54,EU
"Left 4 Dead",2.66,0.52,0.05,0.3,3.54,NA
"James Bond 007: Everything or Nothing",1.72,1.37,0.09,0.35,3.54,NA
"WWE SmackDown vs. Raw 2011",1.64,1.33,0.01,0.54,3.54,NA
"Iron Man",2.07,0.92,0,0.56,3.53,NA
"Just Cause 2",1.04,1.89,0.08,0.53,3.53,EU
"Spyro 2: Ripto's Rage!",2.14,1.21,0.01,0.17,3.52,NA
"Donkey Kong Country 3: Dixie Kong's Double Trouble!",1.17,0.5,1.75,0.08,3.51,JP
"Kung Fu",1.64,0.38,1.42,0.06,3.5,NA
"Clubhouse Games",0.59,1.83,0.73,0.35,3.5,EU
"Far Cry 2",1.15,1.84,0.03,0.48,3.49,EU
"Deus Ex: Human Revolution",1.57,1.38,0.09,0.45,3.49,NA
"Guitar Hero: On Tour",2.11,1.01,0.01,0.35,3.48,NA
"Avatar: The Game",1.4,1.56,0,0.51,3.48,EU
"Mafia II",1.51,1.45,0.04,0.47,3.47,NA
Madagascar,2.38,0.92,0,0.16,3.45,NA
"Monster Hunter 4",0,0,3.44,0,3.44,JP
"Tekken 4",1.55,1.27,0.33,0.29,3.44,NA
"Shrek 2",2.25,1.08,0.04,0.07,3.43,NA
"LittleBigPlanet 2",1.82,1.07,0.06,0.47,3.42,NA
"Grand Theft Auto 2",1.13,2.07,0,0.22,3.42,EU
"A Bug's Life",2.45,0.85,0,0.12,3.42,NA
"Final Fantasy XIII-2",1.14,1.05,0.91,0.32,3.42,NA
"Mortal Kombat 3",2.51,0.76,0.02,0.13,3.42,NA
"Spider-Man 3",2.35,0.63,0.03,0.42,3.42,NA
"F-1 Race",1.73,0.69,0.59,0.4,3.41,NA
"Band Hero",1.88,1.01,0,0.52,3.4,NA
"Ghostbusters: The Video Game",1.94,0.89,0,0.59,3.39,NA
"Crash Bash",1.56,1.47,0.19,0.17,3.39,NA
"Peter Jackson's King Kong: The Official Game of the Movie",1.72,1.28,0,0.39,3.39,NA
"Crysis 2",1.31,1.52,0.08,0.46,3.39,EU
"The Legend of Zelda: Spirit Tracks",1.43,0.94,0.74,0.27,3.38,NA
Pure,1.8,1.18,0,0.39,3.38,NA
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",2.21,0.76,0.01,0.4,3.37,NA
"Rayman Legends",0.96,1.85,0.03,0.5,3.36,EU
"The Legend of Zelda: Majora's Mask",1.9,0.67,0.73,0.06,3.36,NA
"Professor Layton and the Unwound Future",0.65,1.61,0.82,0.28,3.36,EU
"X-Men Legends",2.03,1.07,0,0.26,3.36,NA
"NCAA Football 07",2.84,0.17,0,0.33,3.36,NA
"Rugrats: Search For Reptar",1.63,1.53,0,0.18,3.34,NA
"WWE SmackDown! vs. RAW 2006",1.81,1.12,0.04,0.36,3.34,NA
"Final Fantasy XIV: A Realm Reborn",1.54,1.03,0.36,0.42,3.34,NA
"English Training: Have Fun Improving Your Skills!",0,0.99,2.32,0.02,3.33,JP
"Ratchet & Clank",1.44,1.01,0.57,0.3,3.33,NA
"Burnout Paradise",1.64,1.22,0.03,0.45,3.33,NA
"Mario Party 9",1.15,1.17,0.76,0.24,3.32,EU
Rage,1.43,1.38,0.09,0.42,3.32,NA
SSX,1.51,1.31,0.08,0.4,3.31,NA
"Dead Space 2",1.8,1.1,0,0.39,3.29,NA
"Tomb Raider: Underworld",1.37,1.4,0.06,0.48,3.29,EU
"Wii Music",1.36,1.13,0.46,0.32,3.27,NA
"Gran Turismo (PSP)",0.5,1.59,0.31,0.87,3.27,EU
"Monster Hunter X",0.25,0.19,2.78,0.04,3.26,JP
"Command & Conquer: Red Alert",1.6,1.5,0,0.17,3.26,NA
Tekken,0.95,1.3,0.77,0.22,3.24,EU
"Harry Potter and the Half-Blood Prince",1.12,1.31,0,0.82,3.24,EU
"WWE 2K15",1.4,1.4,0,0.43,3.23,NA
"Plants vs. Zombies: Garden Warfare",1.33,1.48,0.02,0.41,3.23,EU
"Yokai Watch 2 Ganso/Honke",0.03,0,3.18,0,3.22,JP
"Rayman Origins",1.13,1.63,0.01,0.46,3.22,EU
"007: Tomorrow Never Dies",1.72,1.33,0,0.16,3.21,NA
"NBA Street",2.52,0.31,0,0.39,3.21,NA
"Missile Command",2.81,0.34,0,0.06,3.21,NA
"Killer Instinct",2.26,0.72,0.12,0.1,3.2,NA
"WWF SmackDown! 2: Know Your Role",1.76,1.21,0.07,0.16,3.2,NA
"Disney's The Lion King",2.23,0.76,0.11,0.11,3.2,NA
"Crisis Core: Final Fantasy VII",1.35,0.6,0.8,0.44,3.19,NA
"God of War: Chains of Olympus",1.48,1.01,0.04,0.66,3.19,NA
"Dragon Quest VI: Maboroshi no Daichi",0,0,3.19,0,3.19,JP
"Dance Central",2.15,0.77,0.01,0.26,3.19,NA
"Super Mario Maker",1.18,0.87,0.93,0.2,3.18,NA
"Rhythm Heaven",0.58,0.51,1.93,0.14,3.17,JP
"Ace Combat 04: Shattered Skies",2.06,0.56,0.38,0.17,3.17,NA
"Club Penguin: Elite Penguin Force",1.88,0.98,0,0.3,3.16,NA
"Animal Crossing",1.92,0.16,0.99,0.09,3.15,NA
"Sonic Rush",1.22,1.57,0.06,0.29,3.15,EU
"Halo: The Master Chief Collection",1.89,0.99,0.03,0.24,3.15,NA
Fable,2.24,0.77,0.01,0.13,3.14,NA
"Dark Souls",1.39,0.88,0.54,0.32,3.14,NA
"Tiger Woods PGA Tour 08",2.03,0.72,0,0.4,3.14,NA
"The Sims 2: Castaway",1.46,1.16,0,0.5,3.13,NA
"Need for Speed III: Hot Pursuit",2.14,0.86,0,0.13,3.12,NA
"Star Wars Episode I Racer",2.31,0.62,0.14,0.04,3.12,NA
"Personal Trainer: Cooking",0.91,1,1.03,0.17,3.12,JP
"Dragon Warrior IV",0.08,0,3.03,0.01,3.12,JP
"Heavy Rain",1.29,1.27,0.06,0.5,3.12,NA
"Far Cry: Primal",1.09,1.57,0.06,0.41,3.12,EU
"The Urbz: Sims in the City",1.35,1.42,0,0.35,3.12,EU
"Midnight Club: Street Racing",2.34,0.6,0.02,0.15,3.11,NA
"Sonic Colors",1.7,1.11,0.02,0.29,3.11,NA
"MySims Kingdom",1.52,1.25,0.02,0.34,3.11,NA
"Need for Speed (2015)",0.79,1.85,0.05,0.42,3.1,EU
"Disney's DuckTales",1.73,0.53,0.77,0.07,3.1,NA
"Hitman 2: Silent Assassin",1.46,1.18,0.04,0.41,3.09,NA
"World Class Track Meet",1.92,0.45,0.64,0.07,3.08,NA
"Monster Hunter Freedom 2",0.37,0.27,2.25,0.18,3.08,JP
"The Legend of Zelda: A Link Between Worlds",1.4,0.99,0.46,0.22,3.07,NA
"The Sims: Vacation",1.72,1.21,0,0.14,3.07,NA
"Devil May Cry 4",1.39,0.82,0.5,0.35,3.07,NA
"Dark Souls II",1.29,0.93,0.49,0.35,3.07,NA
Myst,0.11,2.8,0.13,0.01,3.06,EU
"SoulCalibur IV",1.64,0.85,0.21,0.35,3.06,NA
"DJ Hero",1.55,0.99,0,0.52,3.06,NA
"The Orange Box",1.37,1.24,0.02,0.42,3.05,NA
"Epic Mickey",2.06,0.64,0.12,0.22,3.04,NA
Rayman,1.54,1.33,0,0.16,3.03,NA
"Deal or No Deal",2.37,0.42,0,0.24,3.03,NA
"Just Dance 2016",1.53,1.19,0,0.31,3.03,NA
"Tiger Woods PGA Tour 10",1.66,0.9,0,0.47,3.03,NA
"Killzone 2",1.4,1.07,0.08,0.47,3.02,NA
"Mike Tyson's Punch-Out!!",2.03,0.47,0.45,0.07,3.02,NA
"WWE SmackDown! Shut Your Mouth",1.45,1.13,0.07,0.38,3.02,NA
SingStar,0.45,1.95,0,0.62,3.02,EU
"Dead Rising 2",1.28,1.12,0.24,0.35,3.02,NA
Overwatch,1.38,1.11,0.14,0.38,3.01,NA
"Gears of War: Ultimate Edition",2.38,0.32,0,0.31,3,NA
"2010 FIFA World Cup South Africa",0.94,1.46,0.13,0.47,3,EU
"Star Fox",1.61,0.51,0.8,0.07,2.99,NA
"The Sims: Livin Large",1.67,1.18,0,0.13,2.99,NA
"World Soccer Winning Eleven 6 International",0.12,1.26,1.16,0.45,2.99,EU
"Devil May Cry",1.36,0.86,0.64,0.13,2.99,NA
"Animal Crossing: Happy Home Designer",0.47,1,1.39,0.12,2.98,JP
"Half-Life 2",2.65,0.23,0.08,0.03,2.98,NA
"Crash Nitro Kart",1.51,1.25,0,0.23,2.98,NA
"Bakugan: Battle Brawlers",2.47,0.26,0,0.23,2.98,NA
"The Sims 4",0.96,1.72,0,0.29,2.97,EU
"Star Wars: The Old Republic",1.58,1.01,0,0.38,2.97,NA
"Kirby Super Star Ultra",1.57,0.04,1.19,0.15,2.96,NA
"God of War Collection",1.84,0.56,0.07,0.48,2.96,NA
"Medal of Honor: Warfighter",1.19,1.27,0.07,0.42,2.96,EU
"UFC Undisputed 2010",1.81,0.79,0.02,0.34,2.96,NA
"Wave Race 64",1.98,0.58,0.34,0.04,2.94,NA
"SOCOM II: U.S. Navy SEALs",2.22,0.51,0.06,0.15,2.94,NA
inFAMOUS,1.76,0.69,0.12,0.37,2.94,NA
"Pac-Man Collection",2.07,0.77,0.05,0.05,2.94,NA
"Imagine: Fashion Designer",1.42,1.21,0,0.31,2.94,NA
"Fight Night Round 4",1.87,0.75,0,0.34,2.94,NA
"Wheel of Fortune",2.49,0.31,0,0.13,2.94,NA
"WarioWare: Smooth Moves",0.87,1.06,0.73,0.26,2.92,EU
"NBA 2K10",2.62,0.04,0.01,0.26,2.92,NA
"Ben 10: Alien Force",1.74,0.59,0,0.59,2.92,NA
"Cooking Mama: Cook Off",1.43,1.13,0.05,0.3,2.91,NA
"Ice Hockey",1.73,0.35,0.78,0.06,2.91,NA
"World Soccer Winning Eleven 7 International",0.08,1.24,1.13,0.45,2.9,EU
"Hot Shots Golf 3",0.99,0.32,1.38,0.2,2.89,JP
"Tomb Raider: The Last Revelation",1.56,1.14,0.06,0.13,2.89,NA
"SSX Tricky",1.73,0.91,0,0.25,2.89,NA
"Minecraft: Story Mode",1.25,1.3,0,0.36,2.89,EU
"Zumba Fitness 2",1.54,1.07,0,0.28,2.88,NA
"Syphon Filter",2.03,0.72,0.02,0.11,2.88,NA
"Imagine: Babyz",1.3,1.27,0,0.31,2.88,NA
"Colin McRae Rally",0.09,2.43,0.12,0.22,2.87,EU
"Tom Clancy's Splinter Cell: Pandora Tomorrow",1.45,1.19,0,0.24,2.87,NA
"The Elder Scrolls III: Morrowind",2.09,0.63,0.03,0.11,2.86,NA
"WWE 2K16",1.2,1.28,0,0.37,2.86,EU
F-Zero,1.37,0.51,0.89,0.07,2.85,NA
"Yoshi's Story",1.29,0.53,0.98,0.05,2.85,NA
"Just Cause 3",0.91,1.51,0.07,0.36,2.85,EU
"Marvel: Ultimate Alliance 2",1.99,0.45,0,0.42,2.85,NA
"WWE SmackDown! vs. Raw",1.32,1.08,0.04,0.39,2.83,NA
"WWE '13",1.35,1.09,0,0.38,2.83,NA
"Metroid Prime",1.96,0.67,0.1,0.09,2.82,NA
"Army of Two",1.83,0.64,0.04,0.31,2.82,NA
"NBA Live 2004",2.22,0.27,0,0.3,2.81,NA
"NCAA Football 06",2.26,0.26,0,0.28,2.81,NA
"MVP Baseball 2005",2.21,0.34,0,0.25,2.81,NA
"Battlefield: Bad Company",1.57,0.82,0.09,0.33,2.81,NA
"WWE '12",1.51,0.95,0.02,0.32,2.81,NA
"WWE SmackDown! Here Comes the Pain",1.32,1.06,0.04,0.38,2.8,NA
"Yoshi's Island DS",1.47,0.07,1.1,0.15,2.8,NA
"Yoshi's Cookie",1,0.3,1.45,0.05,2.8,JP
